Date,Store,Product,Sales,Price,day,month,lag_1,lag_2,rolling_mean,Predicted,Reorder_Point,Inventory_Status,Revenue,Profit,Anomaly
2023-01-03,Store_A,Milk,49,27,3,1,46.0,48.0,47.666666666666664,48.78,280.8260626838274,LOW,1323,264.6,NO
2023-01-04,Store_A,Milk,61,27,4,1,49.0,46.0,52.0,59.72,335.5260626838274,LOW,1647,329.40000000000003,NO
2023-01-05,Store_A,Milk,51,27,5,1,61.0,49.0,53.666666666666664,54.34,308.6260626838274,LOW,1377,275.40000000000003,NO
2023-01-06,Store_A,Milk,51,27,6,1,51.0,61.0,54.333333333333336,53.03,302.07606268382733,LOW,1377,275.40000000000003,NO
2023-01-07,Store_A,Milk,49,27,7,1,51.0,51.0,50.333333333333336,49.05,282.17606268382735,LOW,1323,264.6,NO
2023-01-08,Store_A,Milk,50,27,8,1,49.0,51.0,50.0,50.43,289.0760626838274,LOW,1350,270.0,NO
2023-01-09,Store_A,Milk,52,27,9,1,50.0,49.0,50.333333333333336,51.18,292.8260626838274,LOW,1404,280.8,NO
2023-01-10,Store_A,Milk,69,27,10,1,52.0,50.0,57.0,66.29,368.3760626838274,LOW,1863,372.6,NO
2023-01-11,Store_A,Milk,68,27,11,1,69.0,52.0,63.0,66.6,369.92606268382735,LOW,1836,367.20000000000005,NO
2023-01-12,Store_A,Milk,58,27,12,1,68.0,69.0,65.0,58.08,327.32606268382733,LOW,1566,313.20000000000005,NO
2023-01-13,Store_A,Milk,70,27,13,1,58.0,68.0,65.33333333333333,69.5,384.42606268382735,LOW,1890,378.0,NO
2023-01-14,Store_A,Milk,57,27,14,1,70.0,58.0,61.666666666666664,58.93,331.57606268382733,LOW,1539,307.8,NO
2023-01-15,Store_A,Milk,72,27,15,1,57.0,70.0,66.33333333333333,71.42,394.0260626838274,LOW,1944,388.8,NO
2023-01-16,Store_A,Milk,65,27,16,1,72.0,57.0,64.66666666666667,63.36,353.7260626838274,LOW,1755,351.0,NO
2023-01-17,Store_A,Milk,65,27,17,1,65.0,72.0,67.33333333333333,65.44,364.1260626838274,LOW,1755,351.0,NO
